VSSL_INNB,CLSGN,VSSL_NO,IMO_NO,MMSI_NO,BEF_VSSL_NO,BEF_CLSGN,PRT_AG_CD,SATMNT_ENTRPS_CD,SAVE_TP,VSSL_KND_CD,VSSL_KOR_NM,VSSL_ENG_NM,VSSL_NLTY_CD,SHIPNG_NAT_CD,SHIPNG_PRT_CD,OPRTR_NLTY_CD,OPRTR_ENTRPS_CD,SHPWNR_NLTY_CD,SHPWNR_ENTRPS_CD,TON_EDYC_SE,INTRL_GRTG,GRTG,NTNG,CMDTY_WT_TON,VSSL_TOT_LT,SHDTH,VSSL_DRFT,VSSL_LT,VSSL_DP,BRBT_SE,IBOBPRT_SE,NVG_SHAP_CD,ERSR_RESN_CD,VSSL_CNSTR_DT,ORGINL_CMPRSN_DT,ISSC_DSPTH_DTLS,ISSC_APRTF_CECK_DTLS,ISSC_CNFIRM_DT,ISSC_PRT_CD,VSSL_TELNO_1,VSSL_TELNO_2,VSSL_TELNO_3,XCSSHP_AT,OKR_DPLC_HULL_AT,SBT_YN,REMARK,SATMNT_DT,USE_YN,RDCSHP_RESN,RDCSHP_DE,HARBOR_TNSPOT_SE,STDR_INSTT_HRSPW,USER_INSRNC_EXPRTN_DE,VSSL_INSRNC_EXPRTN_DE,CREW_INSRNC_EXPRTN_DE,POSESN_SE,HOLD_SE,CHARTSP_BEGIN_DE,CHARTSP_END_DE,LDADNG_CPCTY,ACQS_DE,RGSTR_ID,REGIST_DT,UPDUSR_ID,UPDT_DT,ROW_STTUS_CD,TELNO_RM,REQST_NO,NWSHIP_TKOFF_AT,OIL_INSRNC_BEGIN_DE,OIL_INSRNC_END_DE,RGSTR_SE,SATMNT_ENTRPS_U_CD,SUB_INST_YN,LDADNG_TEU,RE_SATMNT_REQST_YN,RE_SATMNT_REQST_RESN
9719874,5BUE4,,9719874,209087000,,,20,KMC0360,3,41,CAPE PIONEER,CAPE PIONEER,CY,CY,LMS,SG,,,KMC0360,1,"70,704","70,704","39,212","79,880",259,43,14,259,25,,1,1,,7/20/2017 0:00,10/18/2017 0:00,,,,,1075998384,1047154476,,,N,N,"181101 총길이,만재흘수,깊이,길이,운영자국적,대리점 변경/171018 신규등록",4/19/2021 15:00,Y,,,,,,,,,,,,,,bpa020,10/18/2017 17:05,vtms,4/22/2021 21:02,A,,66687,,,,,,,"6,865",,
C4NK2,C4NK2,,9307229,209251000,,,20,KMC0326,3,41,PUSAN C,PUSAN C,CY,CY,LMS,CH,KMC0326,CY,,1,"108,069","108,069","57,365","111,737",323,46,15,323,23,,1,1,,4/1/2006 0:00,4/8/2015 0:00,,,,,1045657192,51,,3,N,N,111021 대리점 변경,6/3/2019 10:45,Y,,,,,,,,,,,,,,sima3116,4/8/2015 13:32,bpa161006-IHS,10/27/2020 15:39,A,,53014,,,,,,,"9,572",,
9507702,5BDC5,,9507702,209459000,,VRFN7,20,ICC2115,3,41,CONTSHIP ERA,CONTSHIP ERA,CY,CY,LMS,DK,,,,1,"9,909","9,909","4,503","13,918",141,23,5,141,12,,1,1,,1/1/2004 0:00,6/8/2010 0:00,,,,,1098165350,1028417027,,,N,N,181023 나용구분 변경,4/27/2020 10:31,Y,,,,,,,,,,,,,,usptms6,2/8/2018 10:41,vtms,5/6/2021 8:27,A,4.06 변경 대리점 KD오션 051-464-0885 ,59847,,,,,,,"1,118",,
9247742,5BDF5,,9247742,209470000,,HOVU,20,KMC0326,1,41,MSC BOSPHORUS,MSC BOSPHORUS,CY,CY,LMS,CH,,CH,KMC0326,1,"75,484","75,484","29,555","81,171",300,40,14,288,24,,1,1,,6/10/2002 0:00,1/25/2011 0:00,,,,,1045657192,,,3,N,N,"190212 선명/호출부호/선주 변경
180426 대리점,만재흘수 변경/110121 신규",2/12/2019 0:00,Y,,,,,,,,,,,,,,lmk0123,3/1/2014 18:43,bpa161006-IHS,10/27/2020 15:37,A,,50778,,,,,,,"6,492",,
P3XP9,P3XP9,,9285990,209550000,,,20,KMC0326,1,41,AMERICA,AMERICA,CY,CY,LMS,CH,KMC0326,CY,,1,"90,645","90,645","60,740","107,749",334,43,15,321,25,,1,1,,11/2/2004 0:00,,,,,,1045657192,1071740082,,,N,N,"180531 선명,순톤수,만재흘수,깊이,길이,선주국적,운영자국적,대리점변경",9/11/2019 15:26,Y,,,,,,,,,,,,,,bpa020,8/12/2016 13:11,bpa063004-IHS,10/27/2020 15:32,A,,55205,,,,,,,"8,468",,
5BEW2,5BEW2,,9323041,210242000,,,20,KMC2103,1,41,NORDWINTER,NORDWINTER,CY,CY,LMS,KR,,,,1,"38,332","38,332","21,924","46,211",233,32,12,233,16,,1,1,,3/18/2008 0:00,5/23/2011 0:00,,,,,1098165350,,,,N,N,"181224 대리점 변경
181016 선명,총길이,너비,만재흘수,대리점,길이 변경/180604 선명,대리점변경/110518 선명/대리점",3/27/2019 10:09,Y,,,,,,,,,,,,,,lmk0123,9/5/2011 9:51,bpa161006-IHS,10/27/2020 15:37,A,,51522,,,,,,,"3,586",,
DIHC,DIHC,,9295244,211433000,,,20,KMC0360,3,41,COLOMBO EXPRESS,COLOMBO EXPRESS,DE,DE,HAM,DE,,DE,,1,"93,750","93,750","37,699","103,800",324,43,10,324,25,,1,2,,11/1/2004 0:00,,,,,,,,,3,,,선명톤수10.16(ITC),10/16/2007 13:44,Y,,,,,,,,,,,,,,lmk0123,2/24/2014 15:25,vtms,3/19/2021 19:56,A,,,,,,,,,"8,749",,
DNDD,DNDD,,9294989,211693000,,,20,KMC0326,3,41,NORTHERN JULIE,NORTHERN JULIE,DE,DE,HAM,CH,,CH,KMC0326,1,"94,483","94,483","55,670","108,180",318,43,15,318,20,,1,1,,10/18/2004 0:00,11/17/2014 0:00,,,,,1045657192,1094502281,,3,N,N,"180528 운영자국적,선주업체,대리점변경/170603 대리점변경,길이변경",5/28/2018 0:00,Y,,,,,,,,,,,,,,bpa020,6/5/2017 9:56,vtms,3/3/2021 21:17,A,,46299,,,,,,,"8,814",,
DCCR2,DCCR2,,9294991,211744000,,,20,KMC0326,3,41,NORTHERN JADE,NORTHERN JADE,DE,DE,HAM,CH,,,,1,"94,483","94,483","55,670","108,106",332,43,15,318,20,,1,1,,2/7/2005 0:00,,,,,,1045657192,1067768680,,3,N,N,대리점변경0414,7/9/2020 10:54,Y,,,,,,,,,,,,,,lmk0123,4/13/2013 19:02,vtms,3/10/2021 0:24,A,,61293,,,,,,,"8,814",,
MLLT3,5BZM3,,9305647,212353000,,MLLT3,20,KMS8802,3,41,HYUNDAI SHANGHAI,HYUNDAI SHANGHAI,CY,CY,LMS,KR,,GB,,1,"74,651","74,651","43,151","80,262",294,40,14,294,24,3,1,1,,4/1/2006 0:00,,,,6/21/2006 0:00,20,1073026210,,,,N,N,,7/10/2019 13:45,Y,,,,,,,,,,,,,,joon5617,3/28/2014 17:29,vtms,4/7/2021 17:51,A,,53964,,,,,,,"6,763",,
A8FU7,5BVK4,,9289544,212790000,,A8FU7,20,KMC0748,3,41,CSL ATLANTIC,CSL ATLANTIC,CY,CY,LMS,FR,,,,1,"54,626","54,626","34,983","66,939",284,32,12,284,18,,1,1,,1/24/2005 0:00,,,,,,1050902717,1094502281,,,N,N,"171229 호출부호,선박국적,선적항,선주국적,운영자국적 변경",11/4/2019 1:15,Y,,,,,,,,,,,,,,bpa020,12/29/2017 17:54,bpa161006-IHS,10/27/2020 15:37,A,,56228,,,,,,,"5,075",,
9706310,9HA5141,,9706310,215493000,,D5JG5,20,KMC0660,3,41,ADONIS,ADONIS,MT,MT,MLA,IL,,,,1,"96,424","96,424","59,714","115,639",288,48,15,288,19,,1,1,,5/6/2015 0:00,5/25/2017 0:00,,,,,1064825318,514605732,,,N,N,170525 신규등록,10/26/2020 15:36,Y,,,,,,,,,,,,,,bpa020,5/25/2017 17:34,vtms,4/14/2021 0:02,A,,63365,,,,,,,"9,162",,
9706308,9HA5144,,9706308,215499000,,D5IS5,20,KMC0660,1,41,AKADIMOS,AKADIMOS,MT,MT,MLA,IL,,,KMC0660,1,"96,424","96,424","59,714","115,590",300,48,15,288,19,,1,1,,1/19/2015 0:00,2/12/2019 0:00,,,,,1064825318,,,,N,N,190212 신규등록,7/6/2020 13:23,Y,,,,,,,,,,,,,,bpa161006,2/12/2019 15:46,vtms-IHS,10/27/2020 15:39,,,61231,,,,,,,"9,162",,
9HZX7,9HZX7,,9292151,215771000,,,20,KMC0660,1,41,MAINE TRADER,MAINE TRADER,MT,MT,MLA,IL,,DE,KMC0660,1,"54,271","54,271","31,250","67,679",284,32,14,284,21,,1,1,,7/26/2004 0:00,1/22/2013 0:00,,,,,1050692514,514605723,,3,N,N,"190125 선명/선주 변경
130114 대리점 변경",1/25/2019 0:00,Y,,,,,,,,,,,,,,lmk0123,7/14/2013 19:26,bpa161006-IHS,10/27/2020 15:40,A,,50507,,,,,,,"4,992",,
9461403,DIGX2,,9461403,218400000,,A8WY3,20,KMC0326,3,41,MSC LA SPEZIA,MSC LA SPEZIA,DE,LR,MLW,DE,,,,1,"153,115","153,115","89,067","165,977",352,51,15,352,23,,1,1,,5/31/2010 0:00,1/21/2011 0:00,,,,,2,1067445971,1097750953,,,N,110117 호출부호/선박,10/19/2010 0:00,,,,,,,,,,,,,,,lmk0123,3/20/2014 22:09,ywhyun,12/6/2020 13:51,A,,,,,,,,,"14,036",,
9461427,DIGY2,,9461427,218441000,,,20,BSC0099,3,41,MSC LIVORNO,MSC LIVORNO,DE,DE,HAM,KR,,,,1,"153,115","153,115","89,067","165,918",352,51,16,352,23,,1,1,,6/22/2010 0:00,,,,,,1098165350,,,,N,N,101208 대리점/운항형,3/19/2021 13:10,,,,,,,,,,,,,,,lmk0123,2/4/2014 8:58,bpa111,3/25/2021 15:59,A,,66064,,,,,,,"14,036",,
A8HS3,DFDH2,,9290567,218643000,,A8HS3,20,KMC0660,3,41,SANTA LORETTA,SANTA LORETTA,DE,DE,HAM,IL,,IL,,1,"107,849","107,849","57,577","110,860",337,46,15,337,23,,1,1,,6/27/2005 0:00,3/30/2015 0:00,,,6/22/2006 0:00,20,1050692514,1071698767,,3,N,N,"180628 선주국적,운영자국적,대리점변경",7/10/2019 15:18,Y,,,,,,,,,,,,,,bjkim4478,12/28/2017 10:00,vtms,4/27/2021 22:26,A,,53968,,,,,,,"9,178",,
A8HS2,DFDG2,,9290555,218650000,,A8HS2,20,KMC0660,3,41,SANTA LINEA,SANTA LINEA,DE,DE,HAM,IL,,,,1,"107,849","107,849","57,577","109,835",323,46,15,323,23,,1,1,,5/23/2005 0:00,4/15/2015 0:00,,,,,1050692514,1049160484,,,N,N,"150408호출부호,선박국적변경",2/22/2019 10:07,Y,,,,,,,,,,,,,,sima3116,4/16/2015 11:01,vtms,3/3/2021 20:08,A,,50949,,,,,,,"9,178",,
9461386,DIDK2,,9461386,218819000,,A8UX5,20,KMC0326,3,41,MSC GENOVA,MSC GENOVA,DE,DE,HAM,CH,,LR,,1,"153,115","153,115","89,067","166,041",352,51,15,352,23,,1,1,,2/2/2010 0:00,,,,,,,1045657192,,,,N,,7/28/2016 10:50,Y,,,,,,,,,,,,,,bpa020,7/28/2016 11:06,vtms,3/27/2021 0:06,A,,,,,,,,,"14,036",,
9619907,OWIZ2,,9619907,219018271,,,622,KMC0155,3,41,MAERSK MC-KINNEY MOLLER,MAERSK MC-KINNEY MOLLER,DK,DK,ZZZ,DK,,,,1,"194,849","194,849","89,317","199,980",399,59,16,380,27,,1,1,,11/27/2012 0:00,,,,,,1071351521,514692281,,3,N,N,,3/24/2021 14:16,Y,,,,,,,,,,,,,,bpa020,3/10/2016 15:55,ywhyun,4/4/2021 7:42,A,,66157,,,,,,,"18,340",,
9619919,OWJD2,,9619919,219018501,,,20,KMC0155,3,41,MAJESTIC MAERSK,MAJESTIC MAERSK,DK,DK,CPH,DK,,,,1,"194,849","194,849","89,317","213,971",380,59,16,380,27,,1,1,,1/21/2013 0:00,,,,,,1098165350,1045417560,1082425032,3,N,N,150828운항형태(정기선으로),9/17/2019 15:50,Y,,,,,,,,,,,,,,bpa020,8/28/2015 17:15,ipsae,4/29/2021 8:43,A,,55295,,,,,,,"18,340",,
9619969,OWJJ2,,9619969,219019094,,,20,KMC0155,3,41,MARIBO MAERSK,MARIBO MAERSK,DK,DK,MRR,DK,,,,1,"194,849","194,849","89,317","199,980",380,59,16,380,27,,1,1,,10/10/2013 0:00,,,,,,1098165350,556816181,,,N,N,150818 운항형태 변경,4/30/2019 16:20,Y,,,,,,,,,,,,,,bpa020,8/18/2015 10:29,vtms,3/27/2021 15:32,A,,52199,,,,,,,"18,340",,
9632117,OWUQ2,,9632117,219021000,,QWUQ2,20,KMC0155,3,41,MUNKEBO MAERSK,MUNKEBO MAERSK,DK,DK,MOM,DK,,,,1,"194,849","194,849","89,317","194,916",380,59,16,380,27,,1,1,,6/3/2014 0:00,,,,,,1098165350,,,,N,N,150825 운항형태 변경,12/10/2019 16:06,Y,,,,,,,,,,,,,,bpa020,8/25/2015 17:22,bpa161006-IHS,10/27/2020 15:33,A,,56966,,,,,,,"18,340",,
9458092,OXSQ2,,9458092,219031000,,V7WJ2,20,KMC0155,3,41,MAERSK ESSEX,MAERSK ESSEX,DK,DK,CPH,DK,,,,1,"141,716","141,716","63,729","148,723",353,48,16,353,26,,1,1,,12/22/2010 0:00,,,,,,1098165350,1094502281,,,N,N,"180313 선명,선박국적,운영자국적,선적항 변경",5/17/2019 13:30,Y,,,,,,,,,,,,,,bpa020,3/13/2018 16:56,bpa161006-IHS,10/27/2020 15:32,A,,52517,,,,,,,"13,092",,
9780445,OWAV2,,9780445,219034000,,,20,KMC0155,3,41,맨체스터 머스크,MANCHESTER MAERSK,DK,DK,CPH,DK,,DK,KMC0155,1,"214,286","214,286","88,997","190,326",383,59,16,383,29,,1,1,,11/27/2015 0:00,,,,,,1095593124,556816181,,,N,N,"180627 대리점 변경
180826 순톤수 변경",8/26/2019 0:00,Y,,,,,,,,,,,,,,ok3950,1/10/2018 16:42,ywhyun,2/15/2021 8:19,A,,54887,,,,,,,"20,568",,
9780457,OWTB2,,9780457,219036000,,,20,KMC0155,3,41,MURCIA MAERSK,MURCIA MAERSK,DK,DK,CPH,DK,,,,1,"214,286","214,286","88,997","190,326",383,59,16,383,29,,1,1,,11/27/2015 0:00,,,,,,1098165350,556816181,,,N,N,,10/23/2019 11:23,Y,,,,,,,,,,,,,,ok3950,2/28/2018 13:54,ywhyun,4/15/2021 13:22,A,,55996,,,,,,,"20,568",,
9780469,OWPP2,,9780469,219038000,,,20,KMC0155,3,41,MANILA MAERSK,MANILA MAERSK,DK,DK,CPH,DK,,,,1,"214,286","214,286","88,997","190,326",383,59,16,383,29,,1,1,,12/1/2015 0:00,,,,,,1098165350,556816181,,,N,N,180425 깊이 변경,9/24/2019 16:27,Y,,,,,,,,,,,,,,ok3950,3/23/2018 10:34,vtms-IHS,10/27/2020 15:32,A,,55416,,,,,,,"20,568",,
